Numbers,Names
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
0,unknown
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
0,unknown
1,birds
1,birds
0,unknown
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
0,unknown
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
0,unknown
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
0,unknown
1,birds
1,birds
0,unknown
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
0,unknown
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
0,unknown
1,birds
1,birds
0,unknown
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
1,birds
2,cats
0,unknown
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
0,unknown
2,cats
2,cats
0,unknown
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
0,unknown
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
0,unknown
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
2,cats
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
0,unknown
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
0,unknown
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
3,flowers
4,hamsters
4,hamsters
4,hamsters
4,hamsters
3,flowers
4,hamsters
4,hamsters
4,hamsters
4,hamsters
4,hamsters
4,hamsters
4,hamsters
4,hamsters
4,hamsters
4,hamsters
4,hamsters
